"txid","pair","time","type","ordertype","price","cost","fee","vol"
"TCLX6O-H6LFX-4GBKUS","XXRPZEUR","2018-05-01 11:57:47.6212","buy","limit",0.68000000,80.00000000,0.12800000,117.64705882
"TWXBQO-7WGNP-3V2PK7","XXBTZEUR","2018-05-04 05:40:56.9147","buy","limit",7990.00000,79.99995,0.12800,0.01001251
"T2CAR4-KQ4LH-FXDGCU","XXLMZEUR","2018-05-06 09:10:17.8528","buy","limit",0.33000000,100.00000000,0.16000000,303.03030303
"TX7CRE-F656E-R47JVN","EOSEUR","2018-05-11 09:18:40.2934","buy","limit",13.000000,80.000000,0.128000,6.15384615
"TOHFDB-4BWL3-5T5AW6","BCHEUR","2018-05-17 22:13:59.723","buy","limit",1000.000000,80.000000,0.128000,0.08000000
"TR7ERR-RGRHG-TW2XL5","XLTCZEUR","2018-05-23 17:48:12.9998","sell","stop market",100.00000,166.00000,0.43160,1.65999998
"TGBLJR-MEQWI-5XFQEE","EOSEUR","2018-05-23 20:12:05.0275","buy","limit",9.430000,80.000000,0.128000,8.48356309
"T3AHRF-NQY4W-QDVL6S","BCHEUR","2018-05-28 05:45:07.7747","buy","limit",800.000000,80.000000,0.128000,0.10000000
"TQJT6J-OJBVT-75SK6V","EOSEUR","2018-06-10 16:59:21.7255","buy","limit",11.000000,100.000000,0.160000,9.09090909
"T5RHAK-IMUMC-524JHP","XXLMZEUR","2018-06-12 18:17:43.7745","buy","limit",0.20000000,80.00000000,0.12800000,400.00000000
"TLEIM3-IQJCT-2NW4QN","EOSEUR","2018-06-20 22:15:54.7686","buy","limit",9.000000,80.000000,0.128000,8.88888888
"TUR423-FYALY-YFX4IP","EOSEUR","2018-06-23 05:36:40.9392","buy","limit",7.200000,54.000000,0.086400,7.50000000
"TAIHXF-ROOVP-6VJMSR","BCHEUR","2018-06-28 02:46:13.0482","buy","limit",610.000000,79.999999,0.128000,0.13114754
"TGQWCJ-YF3TX-34ZDJY","EOSEUR","2018-07-11 19:13:44.08","buy","limit",5.950000,60.000000,0.096000,10.08403361
"TFXXNF-TYDMI-K63OBG","XETHZEUR","2018-07-12 06:30:23.9828","buy","limit",370.00000,60.00000,0.09600,0.16216216
"TQKWRK-QZVSI-SJ6CJR","XXLMZEUR","2018-07-26 06:57:01.1713","sell","limit",0.29700000,297.00000000,0.47520000,1000.00000000
"TQA322-FBP6X-CUT6TN","XXLMZEUR","2018-07-26 21:03:43.1417","buy","limit",0.27000000,100.00000000,0.16000000,370.37037037
"TVCBVV-J7EIV-HYXNZX","BCHEUR","2018-07-28 11:10:51.3471","buy","limit",700.000000,99.999998,0.160000,0.14285714
"TW5ABQ-DRAT2-KWEAZK","XXRPZEUR","2018-07-30 16:21:36.8868","buy","limit",0.38000000,90.00000000,0.14400000,236.84210526
"TB6VDU-BICWD-LNKHA6","XLTCZEUR","2018-07-30 17:25:31.2358","buy","limit",70.00000,100.00000,0.16000,1.42857142
"T5YAY6-QKZS2-VESSOS","XXLMZEUR","2018-07-31 20:56:56.7368","buy","limit",0.23000000,100.00000000,0.16000000,434.78260869
"TBPEVQ-O2TGC-LARAYN","XXBTZEUR","2018-08-08 05:33:21.4399","buy","limit",5539.50000,25.98026,0.06755,0.00469000
"TDJVEG-V5C4L-HSSRBU","XXLMZEUR","2018-08-08 05:35:08.9463","buy","limit",0.18325300,79.97948541,0.20794666,436.44298000
"TUNTG3-AQQJB-4TVCQC","XXBTZEUR","2018-08-20 22:07:53.5136","buy","limit",5540.00000,39.99996,0.06400,0.00722021
"T6NDYQ-Q7A44-J5H5AV","EOSEUR","2018-08-20 22:11:10.1116","buy","limit",4.250000,60.000000,0.096000,14.11764705
"TJ4LHF-YYHDL-HPNH6L","BCHEUR","2018-09-05 23:50:06.0613","buy","limit",450.000000,79.999997,0.128000,0.17777777
"TYLVW7-O34X2-KOXDJA","XLTCZEUR","2018-09-06 18:45:01.0257","buy","limit",48.12000,19.99169,0.05198,0.41545492
"TFEXPA-WRVZQ-D24BBC","XETHZEUR","2018-09-20 08:15:48.2802","buy","limit",178.00000,80.00000,0.12800,0.44943820
"TWGXP2-5FAEW-ATXBVO","ADAEUR","2018-10-03 02:08:04.7112","buy","limit",0.070000,70.000000,0.112000,1000.00000000
"TSYYKZ-FXBEE-HW23AD","BCHEUR","2018-10-11 23:32:23.0349","buy","limit",375.000000,49.999999,0.080000,0.13333333
"TXDP5Q-YNHZQ-PY237E","XTZEUR","2018-10-20 06:49:55.4854","buy","limit",1.100000,88.000000,0.140800,80.00000000
"TZ64UU-NINKR-VRTNNT","DASHEUR","2018-11-02 09:35:46.3681","buy","limit",133.000000,79.999999,0.128000,0.60150375
"TCXXUC-P64OO-3ND3ZC","XXLMZEUR","2018-11-06 21:47:19.4323","sell","limit",0.23000000,184.00000000,0.29440000,800.00000000
"TAPZXD-34NJB-6H7GGT","XXLMZEUR","2018-11-14 20:33:26.8492","buy","limit",0.19000000,80.00000000,0.12800000,421.05263157
"TREEYC-2Y4SE-PYILRJ","ADAEUR","2018-11-15 14:58:21.5921","buy","limit",0.050000,75.000000,0.120000,1500.00000000
"TBCMZY-D54M4-IHHN3S","XLTCZEUR","2018-11-19 05:14:47.9865","buy","limit",35.00000,40.60000,0.06496,1.16000000
"TRS56V-QIG5I-7FEBDW","XTZEUR","2018-11-19 06:08:02.856","buy","limit",0.900000,50.400000,0.080640,56.00000000
"TN33AM-DUEPG-V4D7HS","XXBTZEUR","2018-11-19 21:00:18.8137","buy","limit",4200.00000,48.99997,0.07840,0.01166666
"TJUYIT-JRTEL-VJPEXG","XXLMZEUR","2018-11-24 19:43:33.6968","buy","limit",0.15000000,70.00000000,0.11200000,466.66666666
"TJI4V6-UCAP7-BSRLJT","XXBTZEUR","2018-12-13 00:32:19.1187","buy","limit",3000.00000,48.00000,0.07680,0.01600000
"TPEZUG-UUHUG-EZ46XZ","EOSEUR","2018-12-21 20:46:23.7099","buy","limit",2.200000,60.000000,0.096000,27.27272727
"TKBWDA-B4EOM-HVNV3J","XXLMZEUR","2018-12-27 19:03:46.6197","buy","limit",0.10000000,60.00000000,0.09600000,600.00000000
"TVIL5G-IN6Q6-OWAJK2","BCHEUR","2019-01-11 22:09:41.935","buy","limit",113.000000,49.999999,0.080000,0.44247787
"TZMU2I-VM5PX-E6IKJM","DASHEUR","2019-01-27 00:29:02.9715","buy","limit",63.500000,50.800000,0.081280,0.80000000
"TEUTAM-XJVTR-VHEFRY","XXLMZEUR","2019-02-27 20:33:41.6741","buy","limit",0.07300000,50.37000000,0.08059200,690.00000000
"TFV3O2-4KKYG-2LEAHM","XTZEUR","2019-03-24 12:20:27.583","buy","limit",0.600000,50.000000,0.080000,83.33333333
"TDSLZP-4TSYX-ZXQO6E","XXBTZEUR","2019-04-06 21:03:19.1228","buy","limit",4500.00000,50.00000,0.08000,0.01111111
