aclass,amount,asset,balance,fee,refid,time,type,subtype
currency,80.0000,ZEUR,140.5129,0.0000,QCCJFCU-5GAS2N-LWXPU5,1542376672.3003101,deposit,
currency,100.0000,ZEUR,112.1833,0.0000,QCCJMUF-PBQEMK-KZS2UI,1540908354.4489367,deposit,
currency,100.0000,ZEUR,100.3241,0.0000,QCCDPHF-TKG7LG-ER7JCY,1539867276.5538294,deposit,
currency,100.0000,ZEUR,120.5161,0.0000,QCCIOUF-SVEYWM-W2URPA,1538054256.8696144,deposit,
currency,100.0000,ZEUR,100.6441,0.0000,QCCQFBH-EPBKF6-XURHXS,1536756572.112501,deposit,
currency,100.0000,ZEUR,100.8158,0.0000,QCCYCPK-IKNUMX-MQO35N,1535546770.4931886,deposit,
currency,100.0000,ZEUR,100.9758,0.0000,QCCPMNH-DFWMZK-TCLYFX,1534510073.0124762,deposit,
currency,100.0000,ZEUR,107.2111,0.0000,QCC7O7A-N4S52N-QDOUTT,1533652281.5325565,deposit,
currency,100.0000,ZEUR,107.3711,0.0000,QCCDPYR-GRPEDV-WGCL3L,1533042183.3218858,deposit,
currency,100.0000,ZEUR,101.4703,0.0000,QCCM6UV-PHHWVB-6Y7ZIH,1532523430.6257598,deposit,
currency,100.0000,ZEUR,121.6623,0.0000,QCCKMD2-V364VR-OG7XV4,1531314025.2274425,deposit,
currency,100.0000,ZEUR,101.7903,0.0000,QCCEJIQ-GFAR2K-7HMMVQ,1529940970.1585708,deposit,
currency,100.0000,ZEUR,136.0047,0.0000,QCCJFLI-F2QDBN-ETAEYY,1529424802.771113,deposit,
currency,100.0000,ZEUR,116.1327,0.0000,QCCWYOM-4SDY6O-LVX7XP,1528808988.7431076,deposit,
currency,100.0000,ZEUR,110.9804,0.0000,QCCTGVD-T6HTZW-ZGKUCG,1527079919.5319865,deposit,
currency,100.0000,ZEUR,120.8170,0.0000,QCCJQBE-JZK5OH-HEYNKR,1524583527.0364308,deposit,
currency,100.0000,ZEUR,176.9608,0.0000,QCCYYT5-D7KMUT-GN5IIE,1523609600.0159843,deposit,
currency,100.0000,ZEUR,147.0728,0.0000,QCCJVBN-P3OQQZ-6EQBNZ,1522763735.8984845,deposit,
currency,100.0000,ZEUR,107.1688,0.0000,QCCJJJ7-TX35YP-5VJCLO,1521812961.2732568,deposit,
currency,100.0000,ZEUR,132.3688,0.0000,QCCSOWV-FH5FCZ-P7PVBQ,1521122707.0041523,deposit,
currency,100.0000,ZEUR,102.4808,0.0000,QCC2BCC-WNIQA3-D7TOKV,1520619208.66263,deposit,
currency,100.0000,ZEUR,162.7368,0.0000,QCCZG4W-2ISITJ-QFDEIZ,1520431357.4557214,deposit,
currency,100.0000,ZEUR,102.8008,0.0000,QCC7J4Q-K3Q5DM-N674WS,1519919167.087595,deposit,
currency,100.0000,ZEUR,133.0088,0.0000,QCC5TOK-CBBVSS-7IYLJA,1519308329.2727394,deposit,
currency,100.0000,ZEUR,103.1208,0.0000,QCC5E7J-T4YGEU-N3IXPM,1518531229.0944862,deposit,
currency,100.0000,ZEUR,103.2758,0.0000,QCCNEYK-VYJ7IB-G7R2KI,1517928231.5787218,deposit,
currency,100.0000,ZEUR,133.3558,0.0000,QCC3VIT-NBWD4D-GSDJX7,1517417095.5808735,deposit,
currency,100.0000,ZEUR,103.3558,0.0000,QCCIMJM-QO7RGK-JHTIHQ,1516802933.8080423,deposit,
currency,100.0000,ZEUR,163.3558,0.0000,QCCQSZB-RBWWQC-NRJYND,1516379594.3653734,deposit,
currency,100.0000,ZEUR,107.0058,0.0000,QCC26YI-K2JNED-VGU3VY,1516276293.40952,deposit,
currency,150.0000,ZEUR,171.6178,0.0000,QCCJ73I-HYXFIB-F3TQZ6,1515065032.6727219,deposit,
currency,100.0000,ZEUR,107.3401,0.0000,QCC3ZMO-42LHYT-3VML5W,1514399004.3399308,deposit,
currency,150.0000,ZEUR,152.5721,0.0000,QCCOS2J-RGZSQG-7LO2YF,1513695302.765706,deposit,
currency,100.0000,ZEUR,152.1171,0.0000,QCCGSQH-5XNAQ6-IXEBRH,1512399271.2247639,deposit,
currency,100.0000,ZEUR,101.6963,0.0000,QCC3R7T-SZV7NG-FWXQEI,1511878583.6339154,deposit,
currency,100.0000,ZEUR,100.8949,0.0000,QCCOCL7-WHTAYA-G7RFA5,1510151889.9907408,deposit,
currency,150.0000,ZEUR,150.0000,0.0000,QCCS3K2-POO5L3-WBPHB4,1509460747.988258,deposit,
