pair,time,type,ordertype,price,cost,fee,vol
SOLEUR,2024-03-14 09:21:37,sell,limit,159.000,87.450,0.13992000,0.55000000
ADAEUR,2024-03-14 09:32:38,sell,limit,0.73400000,75.602,0.12096300,103.000
FLOWEUR,2024-03-14 12:28:17,buy,limit,1.300,67.600,0.10816000,52.000
XDGEUR,2024-03-14 15:39:18,buy,limit,0.15800000,68.572,0.10971520,434.000
ADAEUR,2024-03-14 19:35:59,buy,limit,0.66000000,66.000,0.10560000,100.000
SHIBEUR,2024-03-15 00:05:31,sell,limit,0.00003000,4.531,0.00725000,151047.000
SHIBEUR,2024-03-15 00:06:19,sell,limit,0.00003000,25.469,0.04075000,848953.000
ALGOEUR,2024-03-15 03:27:44,buy,limit,0.26500000,67.575,0.10812000,255.000
MATICEUR,2024-03-15 03:28:25,buy,limit,1.026,67.716,0.10834600,66.000
SCEUR,2024-03-15 08:52:09,buy,limit,0.00880000,63.561,0.10169800,7222.894
SCEUR,2024-03-15 08:52:09,buy,limit,0.00880000,16.431,0.02628900,1867.106
SNXEUR,2024-03-15 08:59:53,buy,limit,3.900,68.250,0.10920000,17.500
XDGEUR,2024-03-15 09:11:48,buy,limit,0.14200000,66.740,0.10678400,470.000
BATEUR,2024-03-15 09:13:35,buy,limit,0.29000000,65.540,0.10486400,226.000
APTEUR,2024-03-16 03:31:33,sell,limit,14.300,78.650,0.12584000,5.500
AVAXEUR,2024-03-16 07:10:25,sell,limit,55.200,77.280,0.12365000,1.400
APTEUR,2024-03-16 17:24:32,buy,limit,12.900,67.080,0.10732800,5.200
FLOWEUR,2024-03-16 18:41:24,buy,limit,1.170,67.860,0.10858000,58.000
WAVESEUR,2024-03-16 18:43:19,buy,limit,3.460,79.580,0.12732800,23.000
ADAEUR,2024-03-16 23:14:18,buy,limit,0.60000000,66.600,0.10656000,111.000
XETHZEUR,2024-03-16 23:16:44,buy,limit,3200.000,67.200,0.10752000,0.02100000
UNIEUR,2024-03-17 06:54:16,buy,limit,10.800,66.960,0.10714000,6.200
ALGOEUR,2024-03-17 06:56:57,buy,limit,0.23800000,66.878,0.10700500,281.000
EOSEUR,2024-03-17 06:58:04,buy,limit,0.88000000,80.080,0.12812800,91.000
SNXEUR,2024-03-17 07:22:33,buy,limit,3.500,65.450,0.10472000,18.700
SOLEUR,2024-03-18 10:01:54,sell,limit,191.000,95.500,0.15280000,0.50000000
BATEUR,2024-03-19 01:31:31,buy,limit,0.26000000,65.780,0.10524800,253.000
SOLEUR,2024-03-19 01:31:51,buy,limit,172.000,67.080,0.10733000,0.39000000
XTZEUR,2024-03-19 05:29:52,buy,limit,1.090,15.260,0.02441600,14.000
