ACLASS,AMOUNT,ASSET,BALANCE,FEE,TIME,TYPE,SUBTYPE
currency,100.0,ZEUR,101.3917,0.0,2020-05-11 14:25:18.060131073,deposit,
currency,150.0,ZEUR,170.9397,0.0,2021-06-30 14:51:04.448071957,deposit,
currency,150.0,ZEUR,289.0903,0.0,2021-07-19 14:50:25.122747898,deposit,
currency,100.0,ZEUR,1659.3444,0.0,2022-01-03 15:36:15.767803907,deposit,
currency,100.0,ZEUR,685.0407,0.0,2022-01-10 16:19:51.627873898,deposit,
currency,100.0,ZEUR,1039.5135,0.0,2022-01-18 15:50:29.549952030,deposit,
currency,100.0,ZEUR,631.0713,0.0,2022-01-21 16:15:42.132281065,deposit,
currency,200.0,ZEUR,245.8464,0.0,2022-01-25 16:26:43.753515005,deposit,
currency,200.0,ZEUR,273.9659,0.0,2022-02-01 15:36:10.600163937,deposit,
currency,150.0,ZEUR,568.5453,0.0,2022-02-15 16:06:50.744532108,deposit,
currency,150.0,ZEUR,312.4905,0.0,2022-02-22 15:50:30.637296915,deposit,
currency,150.0,ZEUR,274.706,0.0,2022-02-25 06:15:31.589133024,deposit,
currency,500.0,ZEUR,858.5546,0.0,2022-02-28 17:52:00.761014938,deposit,
currency,500.0,ZEUR,1368.4684,0.0,2022-03-14 15:35:33.255443095,deposit,
currency,500.0,ZEUR,2902.4911,0.0,2022-03-29 14:48:16.279568911,deposit,
currency,500.0,ZEUR,1868.0646,0.0,2022-05-02 15:18:43.328572989,deposit,
currency,500.0,ZEUR,697.6092,0.0,2022-05-10 05:20:19.427793980,deposit,
currency,500.0,ZEUR,1062.894,0.0,2022-05-10 15:15:36.866746902,deposit,
currency,500.0,ZEUR,660.4375,0.0,2022-05-12 17:01:19.242698908,deposit,
currency,500.0,ZEUR,1355.4461,0.0,2022-05-18 14:21:55.592624903,deposit,
currency,500.0,ZEUR,1184.4034,0.0,2022-05-27 14:49:09.595118999,deposit,
currency,500.0,ZEUR,606.6378,0.0,2022-06-13 14:37:54.004039049,deposit,
currency,0.532002,ETHW,0.532002,0.0,2022-09-16 03:06:31.902667046,transfer,spotfromfutures
currency,400.0,ZEUR,971.2327,0.0,2022-11-22 16:38:46.644193888,deposit,
currency,400.0,ZEUR,1393.3275,0.0,2022-12-07 15:19:16.107707977,deposit,
currency,0.06658261,LUNA2,0.87392761,0.0,2022-12-19 21:51:56.834501028,transfer,spotfromfutures
currency,300.0,ZEUR,1162.5693,0.0,2022-12-20 15:18:50.809967041,deposit,
currency,200.0,ZEUR,1127.7294,0.0,2022-12-30 15:20:13.193543911,deposit,
currency,8.0,ATOM.S,8.0,0.0,2023-01-07 23:50:04.203252077,transfer,stakingfromspot
currency,10.0,DOT.S,10.0,0.0,2023-01-09 16:22:29.240861893,transfer,stakingfromspot
currency,5.0,DOT.S,15.0,0.0,2023-01-09 16:40:49.013197899,transfer,stakingfromspot
currency,108.2745,FLR,108.2745,0.0,2023-01-10 01:51:59.353924990,transfer,spotfromfutures
currency,0.07328424,LUNA2,0.94721185,0.0,2023-01-16 20:42:51.420777082,transfer,spotfromfutures
currency,75.0,XTZ.S,75.0,0.0,2023-01-20 23:17:58.319420099,transfer,stakingfromspot
currency,0.0731815,LUNA2,1.02039335,0.0,2023-02-13 18:26:45.966629982,transfer,spotfromfutures
currency,200.0,EUR.M,200.0,0.0,2023-03-08 12:41:12.717339993,transfer,stakingfromspot
currency,0.07368751,LUNA2,1.09408086,0.0,2023-03-13 22:44:13.151199102,transfer,spotfromfutures
currency,200.0,ADA.S,200.0,0.0,2023-03-23 22:18:24.934158087,transfer,stakingfromspot
currency,0.07,ETH2.S,0.07,0.0,2023-04-09 22:58:30.391123056,transfer,stakingfromspot
currency,0.07792735,LUNA2,1.17200821,0.0,2023-04-12 17:53:45.603013992,transfer,spotfromfutures
currency,0.06803122,LUNA2,1.24003943,0.0,2023-05-08 19:34:53.607328892,transfer,spotfromfutures
currency,800.0,TRX.S,800.0,0.0,2023-05-10 22:19:53.829639912,transfer,stakingfromspot
currency,0.01,XBT.M,0.01,0.0,2023-05-31 22:24:36.072587967,transfer,stakingfromspot
currency,0.07378484,LUNA2,1.31382427,0.0,2023-06-06 00:58:49.120472908,transfer,spotfromfutures
currency,200.0,ZEUR,792.3777,0.0,2023-06-10 06:45:46.563420057,transfer,spotfromstaking
currency,200.0,ZEUR,1102.0008,0.0,2023-06-15 23:11:26.832360029,deposit,
currency,100.0,FLOW.S,100.0,0.0,2023-06-25 21:54:30.488490105,transfer,stakingfromspot
currency,200.0,EUR.M,201.2,0.0,2023-07-03 20:23:25.753070116,transfer,stakingfromspot
currency,0.07298836,LUNA2,1.38681263,0.0,2023-07-03 22:07:12.672311068,transfer,spotfromfutures
currency,50.0,XTZ.S,126.723931,0.0,2023-07-10 20:58:27.310436010,transfer,stakingfromspot
currency,0.08067423,LUNA2,1.46748686,0.0,2023-08-03 18:21:42.935199022,transfer,spotfromfutures
currency,200.0,ZEUR,1312.2985,0.0,2023-08-20 07:43:25.682015896,transfer,spotfromstaking
currency,0.06602226,LUNA2,1.53350912,0.0,2023-08-28 23:57:33.727519035,transfer,spotfromfutures
currency,0.07275906,LUNA2,1.60626818,0.0,2023-09-25 19:25:03.306423903,transfer,spotfromfutures
currency,800.0,ALGO.S,800.0,0.0,2023-09-27 18:27:45.417442083,transfer,stakingfromspot
currency,0.07376516,LUNA2,1.68003334,0.0,2023-10-24 00:10:36.975438118,transfer,spotfromfutures
currency,100.0,EUR.M,101.8,0.0,2023-10-24 10:06:15.929267883,transfer,stakingfromspot
currency,100.0,EUR.M,201.83,0.0,2023-10-31 22:22:38.334553003,transfer,stakingfromspot
currency,0.07280606,LUNA2,1.7528394,0.0,2023-11-20 20:17:41.486816883,transfer,spotfromfutures
currency,1.25,SOL.S,1.25,0.0,2023-12-02 21:08:05.479844093,transfer,stakingfromspot
currency,500.0,EUR.M,702.27,0.0,2023-12-07 09:45:27.471541882,transfer,stakingfromspot
currency,200.0,ALGO,699.99999585,0.0,2023-12-09 08:10:18.817141056,transfer,spotfromstaking
currency,300.0,EUR.M,1002.31,0.0,2023-12-10 22:11:40.127593993,transfer,stakingfromspot
currency,100.0,MATIC.S,100.0,0.0,2023-12-12 21:31:48.772627115,transfer,stakingfromspot
currency,0.07347239,LUNA2,1.82631179,0.0,2023-12-18 23:19:44.290191889,transfer,spotfromfutures
currency,300.0,ALGO,549.99999585,0.0,2023-12-21 22:27:10.755189896,transfer,spotfromstaking
currency,58.0,MINA.S,58.0,0.0,2024-01-04 19:01:24.922192097,transfer,stakingfromspot
currency,0.07353156,LUNA2,1.89984335,0.0,2024-01-16 02:16:32.721153021,transfer,spotfromfutures
currency,0.07842819,LUNA2,1.97827154,0.0,2024-02-14 23:24:25.262490987,transfer,spotfromfutures
currency,70.0,ADA,164.99999933,0.0,2024-03-02 07:03:11.389286041,transfer,spotfromstaking
currency,0.06777395,LUNA2,2.04604549,0.0,2024-03-11 21:10:21.533354997,transfer,spotfromfutures
currency,0.6,SOL,0.6,0.0,2024-03-14 11:06:13.306560993,transfer,spotfromstaking
currency,100.0,GRT.S,100.0,0.0,2024-03-14 22:34:42.766067982,transfer,stakingfromspot
currency,0.07297951,LUNA2,2.119025,0.0,2024-04-08 18:37:38.010804892,transfer,spotfromfutures
currency,250.0,ZEUR,2993.5546,0.0,2024-04-15 14:12:56.085613966,deposit,
currency,250.0,ZEUR,3243.5546,0.0,2024-04-18 14:15:38.213042021,deposit,
currency,0.07329866,LUNA2,2.19232366,0.0,2024-05-06 18:58:30.838912964,transfer,spotfromfutures
currency,0.07343429,LUNA2,2.26575795,0.0,2024-06-03 20:46:29.811228991,transfer,spotfromfutures
currency,0.07318307,LUNA2,2.33894102,0.0,2024-07-01 20:02:40.367423058,transfer,spotfromfutures
currency,500.0,ZEUR,1607.513,0.0,2024-07-08 14:12:49.817327023,deposit,
currency,0.07309662,LUNA2,2.41203764,0.0,2024-07-29 19:44:31.264190912,transfer,spotfromfutures
currency,500.0,ZEUR,1186.8815,0.0,2024-08-05 14:14:42.872934103,deposit,
currency,450.0,ZEUR,1825.7342,0.0,2024-08-06 14:17:44.146161079,deposit,
currency,0.07325814,LUNA2,2.48529578,0.0,2024-08-26 15:26:46.908989906,transfer,spotfromfutures
currency,0.07337536,LUNA2,2.55867114,0.0,2024-09-23 15:42:34.220024109,transfer,spotfromfutures
currency,0.07769596,LUNA2,2.6363671,0.0,2024-10-23 09:26:39.801342964,transfer,spotfromfutures
currency,0.05478281,LUNA2,2.69114991,0.0,2024-11-19 16:56:22.304733992,transfer,spotfromfutures
currency,500.0,ZEUR,1736.6631,0.0,2025-02-03 15:16:01.284080982,deposit,
currency,500.0,ZEUR,2598.1413,0.0,2025-02-19 15:15:14.394115925,deposit,
currency,500.0,ZEUR,2225.2805,0.0,2025-02-28 15:13:03.367686033,deposit,
currency,500.0,ZEUR,1634.4265,0.0,2025-03-11 15:20:27.172698021,deposit,
currency,500.0,ZEUR,1542.3689,0.0,2025-04-07 14:19:04.525991917,deposit,
currency,500.0,ZEUR,2193.5167,0.0,2025-10-31 15:19:45.971894979,deposit,
currency,500.0,ZEUR,2122.9377,0.0,2025-11-14 15:17:37.934722900,deposit,
currency,500.0,ZEUR,2095.4784,0.0,2025-11-21 09:33:39.105114937,deposit,
currency,500.0,ZEUR,1558.0692,0.0,2026-01-30 15:18:18.972970963,deposit,
currency,500.0,ZEUR,1492.7445,0.0,2026-01-31 18:49:31.372222900,deposit,
currency,500.0,ZEUR,1707.0866,0.0,2026-02-04 22:39:16.507419109,deposit,
currency,500.0000,ZEUR,1398.5952,0.0000,2026-02-06 06:52:10.469152927,deposit,
